ID,LACT,Time_Born,AdjTime,N_CALVES,CSEX,NUM_DEAD,AGEFDAT,CINT,GEST,PDIM,DDRY,PDOPN,PREFR,PTOTF,PTOTM,PTOTS,EASE,Time,Raw_Activity_Data,Activity_Change,Activity_Change_by_2_Hours,Rumination_Raw_Data,Weighted_Rumination_Change,Rumination_Deviation_by_2_Hours,Total_Rumination_Minutes_In_Last,Daily_Rumination,Weekly_Rumination_Average,Group,new_health_index,Daily_activity,parity,Day,Period,CalvingYN,newvar,period_to_calving
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,22:00,35,-2,-5.79,14,11,-7.33,433,433,419,,,630,2,0,0,1,0,0
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,20:00,34,2,-8.57,45,-1,8.39,468,433,419,,,630,2,0,1,0,1,-1
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,18:00,50,4,5.63,32,4,-0.72,446,433,419,,,630,2,0,2,0,2,-2
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,16:00,45,11,-1.15,53,0,6.4,479,433,419,,,630,2,0,3,0,3,-3
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,14:00,52,12,2.78,32,0,-0.99,432,433,419,,,630,2,0,4,0,4,-4
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,12:00,52,11,4.39,31,-1,1.07,430,433,419,,,630,2,0,5,0,5,-5
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,10:00,62,14,-0.77,39,1,1.75,424,433,419,,,630,2,0,6,0,6,-6
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,8:00,98,12,8.91,8,8,-5.61,388,433,419,,,630,2,0,7,0,7,-7
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,6:00,42,13,4.37,62,13,8.17,387,433,419,,,630,2,0,8,0,8,-8
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,4:00,38,10,0.27,53,3,1.04,365,433,419,,,630,2,0,9,0,9,-9
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,2:00,71,12,13.63,29,4,-4.38,370,433,419,,,630,2,0,10,0,10,-10
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,0:00,51,12,2.88,35,1,-1.27,387,433,419,,,630,2,0,11,0,11,-11
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,22:00,72,10,10.83,49,-14,5.98,366,366,413,15,95.2,717,2,-1,12,0,12,-12
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,20:00,48,7,-1.58,23,-18,-0.28,354,366,413,15,95.2,717,2,-1,13,0,13,-13
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,18:00,48,25,5.65,65,-24,12.69,348,366,413,15,92.8,717,2,-1,14,0,14,-14
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,16:00,74,33,16.91,6,-13,-7.89,294,366,413,15,97,717,2,-1,15,0,15,-15
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,14:00,36,21,-2.62,30,-9,-1.09,334,366,413,15,97,717,2,-1,16,0,16,-16
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,12:00,50,18,4.68,25,-12,-0.79,355,366,413,15,97,717,2,-1,17,0,17,-17
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,10:00,139,15,20.61,3,-7,-9.88,342,366,413,15,97,717,2,-1,18,0,18,-18
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,8:00,88,11,10.43,7,0,-6.75,349,366,413,15,97,717,2,-1,19,0,19,-19
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,6:00,27,5,-3.76,40,-7,0.38,357,366,413,15,97,717,2,-1,20,0,20,-20
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,4:00,32,7,-2.79,58,-7,4.07,373,366,413,15,97,717,2,-1,21,0,21,-21
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,2:00,45,11,1.49,46,-6,4.96,352,366,413,15,97,717,2,-1,22,0,22,-22
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,0:00,58,11,7.34,14,-6,-7.6,354,366,413,15,97,717,2,-1,23,0,23,-23
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,22:00,58,9,7.53,37,-14,0.72,387,387,429,15,97,604,2,-2,24,0,24,-24
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,20:00,59,10,2.75,17,-15,-2.57,376,387,429,15,95.5,604,2,-2,25,0,25,-25
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,18:00,44,6,4.72,11,-5,-11.96,399,387,429,15,98,604,2,-2,26,0,26,-26
11459,2,23:27,22:00,1,M,0,1152,431,275,378,53,156,33,957,31810,954,2,16:00,49,13,5.19,46,-10,5.53,419,387,429,15,98,604,2,-2,27,0,27,-27
