ID,LACT,Time_Born,AdjTime,N_CALVES,CSEX,NUM_DEAD,AGEFDAT,CINT,GEST,PDIM,DDRY,PDOPN,PREFR,PTOTF,PTOTM,PTOTS,EASE,Time,Raw_Activity_Data,Activity_Change,Activity_Change_by_2_Hours,Rumination_Raw_Data,Weighted_Rumination_Change,Rumination_Deviation_by_2_Hours,Total_Rumination_Minutes_In_Last,Daily_Rumination,Weekly_Rumination_Average,Group,new_health_index,Daily_activity,parity,Day,Period,CalvingYN,newvar,period_to_calving
11716,2,4:30,4:00,1,M,0,1065,366,280,304,62,86,42,817,25500,778,1,4:00,66,-6,10.71,6,-12,-18.09,375,150,459,,,600,2,0,0,1,0,0
11716,2,4:30,4:00,1,M,0,1065,366,280,304,62,86,42,817,25500,778,1,2:00,39,-19,-0.26,0,-3,-12.29,434,150,459,,,600,2,0,1,0,1,-1
11716,2,4:30,4:00,1,M,0,1065,366,280,304,62,86,42,817,25500,778,1,0:00,23,-26,-10.12,4,4,-12.64,468,150,459,,,600,2,0,2,0,2,-2
11716,2,4:30,4:00,1,M,0,1065,366,280,304,62,86,42,817,25500,778,1,22:00,27,-8,-4.6,24,11,-7.1,533,533,465,15,100,480,2,-1,3,0,3,-3
11716,2,4:30,4:00,1,M,0,1065,366,280,304,62,86,42,817,25500,778,1,20:00,32,-6,-6.3,35,6,4.82,542,533,465,15,100,480,2,-1,4,0,4,-4
11716,2,4:30,4:00,1,M,0,1065,366,280,304,62,86,42,817,25500,778,1,18:00,45,-2,1.32,39,6,1.98,540,533,465,15,100,480,2,-1,5,0,5,-5
11716,2,4:30,4:00,1,M,0,1065,366,280,304,62,86,42,817,25500,778,1,16:00,29,1,-9.56,56,8,4.69,529,533,465,15,100,480,2,-1,6,0,6,-6
11716,2,4:30,4:00,1,M,0,1065,366,280,304,62,86,42,817,25500,778,1,14:00,51,5,9.48,37,2,0.8,522,533,465,15,100,480,2,-1,7,0,7,-7
11716,2,4:30,4:00,1,M,0,1065,366,280,304,62,86,42,817,25500,778,1,12:00,28,2,-3.01,49,6,4.4,516,533,465,15,98.4,480,2,-1,8,0,8,-8
11716,2,4:30,4:00,1,M,0,1065,366,280,304,62,86,42,817,25500,778,1,10:00,55,14,1.01,41,2,2.46,506,533,465,15,98.4,480,2,-1,9,0,9,-9
11716,2,4:30,4:00,1,M,0,1065,366,280,304,62,86,42,817,25500,778,1,8:00,55,5,12.03,23,7,-8.33,500,533,465,15,98.4,480,2,-1,10,0,10,-10
11716,2,4:30,4:00,1,M,0,1065,366,280,304,62,86,42,817,25500,778,1,6:00,36,-6,0.12,61,2,4.83,525,533,465,15,97.6,480,2,-1,11,0,11,-11
11716,2,4:30,4:00,1,M,0,1065,366,280,304,62,86,42,817,25500,778,1,4:00,40,3,-0.98,65,1,11.38,504,533,465,15,97.6,480,2,-1,12,0,12,-12
11716,2,4:30,4:00,1,M,0,1065,366,280,304,62,86,42,817,25500,778,1,2:00,52,6,7.45,34,3,-3.13,466,533,465,15,97.6,480,2,-1,13,0,13,-13
11716,2,4:30,4:00,1,M,0,1065,366,280,304,62,86,42,817,25500,778,1,0:00,30,-4,-6.73,69,-1,9.15,458,533,465,15,97.6,480,2,-1,14,0,14,-14
