ID,LACT,Time_Born,AdjTime,N_CALVES,CSEX,NUM_DEAD,AGEFDAT,CINT,GEST,PDIM,DDRY,PDOPN,PREFR,PTOTF,PTOTM,PTOTS,EASE,Time,Raw_Activity_Data,Activity_Change,Activity_Change_by_2_Hours,Rumination_Raw_Data,Weighted_Rumination_Change,Rumination_Deviation_by_2_Hours,Total_Rumination_Minutes_In_Last,Daily_Rumination,Weekly_Rumination_Average,Group,new_health_index,Daily_activity,parity,Day,Period,CalvingYN,newvar,period_to_calving
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,10:00,60,12,8.06,6,8,-9.25,580,391,571,20,,576,2,0,0,1,0,0
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,8:00,46,1,4.27,17,12,-5.5,590,391,571,20,,576,2,0,1,0,1,-1
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,6:00,38,4,4.67,53,12,2.27,633,391,571,20,,576,2,0,2,0,2,-2
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,4:00,25,0,-3.85,57,9,-0.85,631,391,571,20,,576,2,0,3,0,3,-3
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,2:00,47,12,16.24,63,15,0.44,608,391,571,20,,576,2,0,4,0,4,-4
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,0:00,30,6,-8.01,93,4,15.23,593,391,571,20,,576,2,0,5,0,5,-5
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,22:00,44,5,5.88,45,-8,5.17,533,533,574,15,95.8,484,2,-1,6,0,6,-6
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,20:00,25,2,-4.23,47,6,-31.17,529,533,574,15,95.8,484,2,-1,7,0,7,-7
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,18:00,51,11,13.65,77,2,12.03,553,533,574,15,95.8,484,2,-1,8,0,8,-8
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,16:00,50,4,2.39,19,-2,-2.59,515,533,574,15,95.8,484,2,-1,9,0,9,-9
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,14:00,29,0,-6.75,66,-9,7.48,526,533,574,15,95.8,484,2,-1,10,0,10,-10
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,12:00,40,10,1.49,37,-9,-5.1,482,533,574,15,95.8,484,2,-1,11,0,11,-11
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,10:00,56,14,8.81,16,-4,-8.21,496,533,574,15,95.8,484,2,-1,12,0,12,-12
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,8:00,41,3,1.11,60,-15,6.61,495,533,574,15,94.6,484,2,-1,13,0,13,-13
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,6:00,25,5,-7.02,51,-21,2.52,492,533,574,15,92.5,484,2,-1,14,0,14,-14
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,4:00,43,5,22.98,34,-9,-16.7,484,533,574,15,95,484,2,-1,15,0,15,-15
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,2:00,38,-1,7.54,48,-9,-13.46,520,533,574,15,95,484,2,-1,16,0,16,-16
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,0:00,42,0,-0.29,33,-9,-5.67,536,533,574,15,96.2,484,2,-1,17,0,17,-17
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,22:00,38,2,0.84,41,-19,0.69,527,527,565,15,94.3,437,2,-2,18,0,18,-18
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,20:00,21,-3,-12.89,71,-12,3.81,536,527,565,15,96.4,437,2,-2,19,0,19,-19
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,18:00,29,3,-0.94,39,-4,-26.58,536,527,565,15,100,437,2,-2,20,0,20,-20
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,16:00,56,2,7.64,30,-4,1.23,553,527,565,15,100,437,2,-2,21,0,21,-21
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,14:00,44,-2,4.1,22,4,-6.59,541,527,565,15,100,437,2,-2,22,0,22,-22
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,12:00,25,-6,-8.93,51,-3,-0.6,573,527,565,15,100,437,2,-2,23,0,23,-23
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,10:00,49,-2,5.9,15,5,-12.57,571,527,565,15,100,437,2,-2,24,0,24,-24
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,8:00,37,0,-1.71,57,0,7.83,604,527,565,15,100,437,2,-2,25,0,25,-25
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,6:00,26,1,-7.87,43,0,0.32,592,527,565,15,100,437,2,-2,26,0,26,-26
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,4:00,27,5,-0.85,70,-4,4.75,592,527,565,15,100,437,2,-2,27,0,27,-27
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,2:00,29,8,-2.28,64,-3,1.77,594,527,565,15,100,437,2,-2,28,0,28,-28
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,0:00,56,6,7.07,24,5,-11.07,587,527,565,15,100,437,2,-2,29,0,29,-29
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,22:00,35,0,-0.87,50,2,2.82,604,604,568,15,100,475,2,-3,30,0,30,-30
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,20:00,34,0,5.8,71,3,4.88,601,604,568,15,100,475,2,-3,31,0,31,-31
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,18:00,29,0,-1.69,56,4,-7.31,598,604,568,15,100,475,2,-3,32,0,32,-32
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,16:00,47,7,1.06,18,10,-3.02,601,604,568,15,100,475,2,-3,33,0,33,-33
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,14:00,42,8,3.77,54,7,2.11,601,604,568,15,100,475,2,-3,34,0,34,-34
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,12:00,38,10,-0.87,49,3,-0.22,614,604,568,15,98.8,475,2,-3,35,0,35,-35
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,10:00,45,7,5.07,48,2,2.84,602,604,568,15,95.8,475,2,-3,36,0,36,-36
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,8:00,54,10,19.24,45,1,3.88,588,604,568,15,95,475,2,-3,37,0,37,-37
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,6:00,43,6,11.51,43,1,0.27,556,604,568,15,95,475,2,-3,38,0,38,-38
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,4:00,26,-1,-3.35,72,-3,7.5,571,604,568,15,95,475,2,-3,39,0,39,-39
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,2:00,31,-1,-0.95,57,0,0.6,552,604,568,15,95,475,2,-3,40,0,40,-40
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,0:00,51,-2,6.83,41,1,-6.05,555,604,568,15,95,475,2,-3,41,0,41,-41
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,22:00,32,-5,-4.02,47,0,0.73,567,567,564,15,95,405,2,-4,42,0,42,-42
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,20:00,32,-4,0.75,68,-6,4.12,545,567,564,15,95,405,2,-4,43,0,43,-43
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,18:00,24,-7,-5.61,59,-2,-4.06,544,567,564,15,95,405,2,-4,44,0,44,-44
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,16:00,45,-6,-1.52,18,-1,-3.21,549,567,564,15,95,405,2,-4,45,0,45,-45
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,14:00,35,-5,-0.25,67,-5,6.98,555,567,564,15,95,405,2,-4,46,0,46,-46
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,12:00,39,-15,-1.23,37,-2,-2.86,534,567,564,15,95.2,405,2,-4,47,0,47,-47
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,10:00,33,-16,-1.23,34,-9,-4.19,544,567,564,15,95.2,405,2,-4,48,0,48,-48
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,8:00,33,-2,-7.52,13,-1,-6.46,533,567,564,15,97.6,405,2,-4,49,0,49,-49
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,6:00,29,0,-3.49,58,-4,5.43,584,567,564,15,97.6,405,2,-4,50,0,50,-50
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,4:00,22,-1,-8.25,53,-2,-3.01,555,567,564,15,97.6,405,2,-4,51,0,51,-51
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,2:00,34,-2,2.05,60,-3,1.21,578,567,564,15,97.6,405,2,-4,52,0,52,-52
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,0:00,47,-3,6.52,53,-3,-1.6,594,567,564,15,97.6,405,2,-4,53,0,53,-53
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,22:00,42,-8,4.89,25,-2,-4.82,612,612,563,15,97.6,395,2,-5,54,0,54,-54
11633,2,10:10,10:00,1,F,0,1091,385,275,332,53,110,33,798,24280,726,1,20:00,26,-12,-4.74,67,5,2.48,609,612,563,15,97.6,395,2,-5,55,0,55,-55
