ID,LACT,Time_Born,AdjTime,N_CALVES,CSEX,NUM_DEAD,AGEFDAT,CINT,GEST,PDIM,DDRY,PDOPN,PREFR,PTOTF,PTOTM,PTOTS,EASE,Time,Raw_Activity_Data,Activity_Change,Activity_Change_by_2_Hours,Rumination_Raw_Data,Weighted_Rumination_Change,Rumination_Deviation_by_2_Hours,Total_Rumination_Minutes_In_Last,Daily_Rumination,Weekly_Rumination_Average,Group,new_health_index,Daily_activity,parity,Day,Period,CalvingYN,newvar,period_to_calving
8592,5,11:00,12:00,1,M,0,2311,404,284,342,62,120,42,1273,33610,1005,4,12:00,29,-9,-3.56,8,-12,-12.28,310,282,385,,,302,2,0,0,1,0,0
8592,5,11:00,12:00,1,M,0,2311,404,284,342,62,120,42,1273,33610,1005,4,10:00,26,-12,-2.98,4,-10,-8.93,341,282,385,,,302,2,0,1,0,1,-1
8592,5,11:00,12:00,1,M,0,2311,404,284,342,62,120,42,1273,33610,1005,4,8:00,24,-14,-4.31,38,-12,7.27,371,282,385,,,302,2,0,2,0,2,-2
8592,5,11:00,12:00,1,M,0,2311,404,284,342,62,120,42,1273,33610,1005,4,6:00,21,-21,-9.8,17,-6,-4.66,341,282,385,,,302,2,0,3,0,3,-3
8592,5,11:00,12:00,1,M,0,2311,404,284,342,62,120,42,1273,33610,1005,4,4:00,19,-17,-7.59,32,-7,-3.64,358,282,385,,,302,2,0,4,0,4,-4
8592,5,11:00,12:00,1,M,0,2311,404,284,342,62,120,42,1273,33610,1005,4,2:00,20,-25,-8.05,17,-2,-5.69,334,282,385,,,302,2,0,5,0,5,-5
8592,5,11:00,12:00,1,M,0,2311,404,284,342,62,120,42,1273,33610,1005,4,0:00,19,-25,-9.46,32,-1,-2.31,323,282,385,,,302,2,0,6,0,6,-6
